Method,SampleType,[Prevotella],[Ruminococcus],5-7N15,Acidovorax,Acinetobacter,Aerococcaceae,Alcaligenes,Alcanivorax,Anaeroplasmataceae,Anaerostipes,Azospira,Bacillaceae,Bacillus,Bacteroides,Bacteroidetes,Bifidobacterium,Blautia,Brachybacterium,Bradyrhizobium,Brevundimonas,Burkholderia,CF231,Cloacibacterium,Clostridiales,Clostridium,Comamonadaceae,Comamonas,Coprococcus,Corynebacterium,Coxiella,Cytophagaceae,Devosia,Dietzia,Dorea,Dyadobacter,Enhydrobacter,Enterobacteriaceae,Enterococcus,Erythromicrobium,Escherichia,Facklamia,Faecalibacterium,Fusobacterium,Geodermatophilaceae,Haemophilus,Halomonas,Helcococcus,Intrasporangiaceae,Janthinobacterium,Kaistobacter,Kocuria,Lachnospiraceae,Lactobacillaceae,Lactobacillus,Lactococcus,Leptotrichiaceae,Massilia,Meiothermus,Methylobacterium,Methylotenera,Micrococcus,Mycoplana,Mycoplasma,Neisseriaceae,Nocardioidaceae,Oxalobacteraceae,Paenibacillus,Parabacteroides,Parvimonas,Peptococcus,Peptoniphilus,Phytophthora,Porphyromonas,Prevotella,Prevotellaceae,Propionibacterium,Pseudomonas,Psychrobacter,Ralstonia,Rikenellaceae,Roseburia,Rubellimicrobium,Ruminococcaceae,Ruminococcus,S24-7,Schlegelella,Skermanella,SMB53,Sphingobacteriaceae,Sphingomonas,Staphylococcus,Stenotrophomonas,Streptococcus,Streptophyta,Tepidimonas,Thermus,Treponema,Trueperella,Turicibacter,Xanthomonadaceae
B5,Milk,0,0,0,0,0,0,0,0,0,0,0,-0.446701332,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.804040055,0,0,-1,0,-1,0,0
B5,Milk,0,0,0,0,-1,0,0,0,0,0,0,0.842814388,-0.054503729,0,0,0,0,0,0,0,0,0,0,0.134595525,0,0,0,0,0,0,0,0,0,0,0,0,1.385229229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,6.091222031,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.923447035,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,8.764961485,0,0,0,0,0,-1,0
B5,Milk,0,0,0,0,0,0,0,0,0,0,0,0.70579571,-0.281861085,-1,0,0,0,0,0,0,0,0,0,-0.171789198,0,0,0,0,0,0,0,0,0,0,0,0,3.596569953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1.174053356,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.296901893,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-0.285242732,0,0,1.128625376,0,0,-1,0
B5,Milk,0,0,0,0,0,0,0,0,0,0,0,0.302352266,0,-1,0,0,0,0,0,0,0,0,0,1.056345683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165457284,0,0,-0.812862934,0,-1,0,0
B5,Milk,0,0,0,0,-1,0,0,0,0,0,0,0.684012883,-1,0,0,0,0,0,0,0,0,0,0,-0.775782313,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1.335600907,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6.259507082,0,0,0,0,0,-1,0
B5,Milk,0,0,0,0,0,0,0,0,0,0,0,0.558801565,-1,-1,0,0,0,0,0,0,0,0,0,-0.83632977,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-0.283942744,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-0.468632267,0,0,11.00411209,0,0,-1,0
B5,Milk,0,0,0,0,0,0,0,0,0,0,0,0.190124198,0,-1,0,0,0,0,0,0,0,0,0,-0.593626924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133571042,0,0,0.055335686,0,-1,0,0
V3,Milk,0,0,0,0,0.339996439,0,0,0,0,0,0,-0.25022748,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1.643091848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.026063437,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132178063,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.348494681,0,0,0,0,0,-1,0
V3,Milk,0,0,0,0,0,0,0,0,0,0,0,-0.305975275,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,4.093496435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.398450947,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-0.901295425,0,0,-1,0,0,-1,0
V3,Milk,0,0,0,0,0,0,0,0,0,0,0,-0.470121382,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17058711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.839055899,0,0,-1,0,-1,0,0
V3,Milk,0,0,0,0,-1,0,0,0,0,0,0,1.09691053,0.203271028,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.968988955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,5.738317757,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.945305862,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,9.509882028,0,0,0,0,0,-1,0
V3,Milk,0,0,0,0,0,0,0,0,0,0,0,0.940999056,-0.086071752,3.047396529,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2.794434246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1.065858645,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.497663551,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-0.230717441,0,0,0.05715581,0,0,-1,0
V3,Milk,0,0,0,0,0,0,0,0,0,0,0,0.481926883,0,1.273030708,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254364247,0,0,-0.90706066,0,-1,0,0
V3,Milk,0,0,0,0,-1,0,0,0,0,0,0,1.735838616,-0.547433593,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3.196524865,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9845716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234272019,0,6.36516418,0,0,0,0,0,-1,0
V3,Milk,0,0,0,0,0,0,0,0,0,0,0,1.532420957,-0.656259301,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0.286586279,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.858298382,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.473519681,0,-0.460898578,0,0,3.120690734,0,0,-1,0
V3,Milk,0,0,0,0,0,0,0,0,0,0,0,0.933469613,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120960769,0,0,-0.637731475,0,-0.562826329,0,0
