FeatureID	Kingdom	Phylum	Class	Order	Family	Genus
9216699ea0ccd9f176ace557aaa9b44a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	
92a97f6da103304573d070415e1784e0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Kytococcus
92acba96d1cd663a8704b4e4285b6b6a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	[Prevotella]
92eb33f513ff0cde4c030c0c37935d6e	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
9345fc1cb98e372c39d38fa840e85501	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
935fd249fab7c2bf8b7b588e4d68974f	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira
93766c93f6cc4e8ac6296e9dc9dbe76c	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
9376ec52ff489d79c1e91f375bd2419e	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales		
93a85182e47f5483a42cf50182589ad4	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio
93d3540acba1dcf479e75547894b65f7	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Spongiibacter
93eae8616877d3bb61e268b34dea1026	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
941d5484731618ea61bc0dcb7ce0d396	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	N09
9448fd8b2e14cff7241ef1ba0cb54d3a	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Cryocola
946a3b47dd3a90daab22a3b616fad644	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
94931762bdc23638e256d2ee17ad1b1d	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Anaerovibrio
949b3f612645f4c0f1082cd35d7eb2fa	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseococcus
94bdb4babe6d031695db7559dcfca959	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
94d2f02ead0e36b941f3fbc3dd0d53d0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	
94d5effbdad40bc5c3ae23ceac7d8970	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
