"","Theo2.1","Theo2.2","Theo2.3","P4W1","P4W2","P4W3","P4R1","P4R2","P4R3","PL4W1","PL4W2","PL4W3","PL4R1","PL4R2","PL4R3","PLVW1","PLVW2","PLVW3","PLVR1","PLVR2","PLVR3","PVW1","PVW2","PVW3","PVR1","PVR2","PVR3","M4W1","M4W2","M4W3","M4R1","M4R2","M4R3","ML4W1","ML4W2","ML4W3","ML4R1","ML4R2","ML4R3","MLVW1","MLVW2","MLVW3","MLVR1","MLVR2","MLVR3","MVW1","MVW2","MVW3","MVR1","MVR2","MVR3"
"PLVW2",0.246365914786967,0.24812030075188,0.245614035087719,0.224812030075188,0.202005012531328,0.16516290726817,0.305012531328321,0.321052631578947,0.303007518796993,0.213032581453634,0.239097744360902,0.130827067669173,0.205513784461153,0.308771929824561,0.133834586466165,0.07468671679198,0,0.0711779448621554,0.162406015037594,0.0604010025062657,0.184962406015038,0.256390977443609,0.170426065162907,0.163659147869674,0.319298245614035,0.315538847117795,0.207268170426065,0.307518796992481,0.295989974937343,0.317042606516291,0.3734335839599,0.439348370927318,0.451629072681704,0.321052631578947,0.297744360902256,0.316791979949875,0.373182957393484,0.371428571428571,0.294987468671679,0.153634085213033,0.144360902255639,0.134586466165414,0.238847117794486,0.155388471177945,0.159147869674185,0.133333333333333,0.16015037593985,0.0902255639097744,0.304260651629073,0.27719298245614,0.217794486215539
"PLVW3",0.191729323308271,0.193483709273183,0.190977443609023,0.187468671679198,0.162155388471178,0.108270676691729,0.266416040100251,0.279949874686717,0.282456140350877,0.157393483709273,0.183458646616541,0.0954887218045113,0.150125313283208,0.253383458646617,0.0784461152882206,0.0343358395989975,0.0711779448621554,0,0.123057644110276,0.0834586466165414,0.172431077694236,0.213784461152882,0.132581453634085,0.13483709273183,0.282205513784461,0.274185463659148,0.164912280701754,0.270426065162907,0.254636591478697,0.275438596491228,0.318045112781955,0.383959899749373,0.396240601503759,0.284210526315789,0.243609022556391,0.261654135338346,0.317543859649123,0.315037593984962,0.239348370927318,0.215037593984962,0.214285714285714,0.181954887218045,0.261152882205514,0.207017543859649,0.193483709273183,0.192982456140351,0.132832080200501,0.0947368421052632,0.304260651629073,0.238345864661654,0.208270676691729
"PLVR1",0.18671679197995,0.188721804511278,0.184962406015038,0.194736842105263,0.176190476190476,0.120551378446115,0.236340852130326,0.214285714285714,0.205764411027569,0.158897243107769,0.188471177944862,0.141854636591479,0.159398496240602,0.2,0.116290726817043,0.136842105263158,0.162406015037594,0.123057644110276,0,0.171177944862155,0.075187969924812,0.232330827067669,0.140350877192982,0.133834586466165,0.242606516290727,0.221303258145363,0.191478696741855,0.280952380952381,0.259398496240602,0.280451127819549,0.233082706766917,0.282706766917293,0.294235588972431,0.291478696741855,0.254135338345865,0.258897243107769,0.298997493734336,0.285213032581454,0.242606516290727,0.287719298245614,0.294736842105263,0.271679197994987,0.215538847117794,0.262907268170426,0.199498746867168,0.271177944862155,0.196741854636591,0.189974937343358,0.222556390977444,0.144110275689223,0.119298245614035
"PLVR2",0.220802005012531,0.228822055137845,0.228571428571429,0.200250626566416,0.179949874686717,0.179448621553885,0.264411027568922,0.287719298245614,0.267669172932331,0.20250626566416,0.208270676691729,0.151127819548872,0.189473684210526,0.269924812030075,0.147117794486216,0.0942355889724311,0.0604010025062657,0.0834586466165414,0.171177944862155,0,0.161904761904762,0.229824561403509,0.168170426065163,0.170676691729323,0.287468671679198,0.278446115288221,0.173684210526316,0.282706766917293,0.267669172932331,0.288220551378446,0.33483709273183,0.399498746867168,0.411779448621554,0.297243107769424,0.266416040100251,0.283208020050125,0.334335839598997,0.331077694235589,0.257393483709273,0.151127819548872,0.140100250626566,0.132080200501253,0.249874686716792,0.142355889724311,0.154135338345865,0.121303258145363,0.136591478696742,0.0639097744360902,0.279699248120301,0.234586466165414,0.183709273182957
"PLVR3",0.195739348370927,0.198245614035088,0.197994987468672,0.198245614035088,0.193483709273183,0.171428571428571,0.224812030075188,0.210275689223058,0.188721804511278,0.186215538847118,0.196992481203008,0.195739348370927,0.175438596491228,0.218546365914787,0.168922305764411,0.180701754385965,0.184962406015038,0.172431077694236,0.075187969924812,0.161904761904762,0,0.247619047619048,0.163408521303258,0.170175438596491,0.245864661654135,0.213032581453634,0.210526315789474,0.29749373433584,0.277443609022556,0.298496240601504,0.222055137844612,0.267167919799499,0.288972431077694,0.308771929824561,0.266666666666667,0.270175438596491,0.300751879699248,0.288972431077694,0.255889724310777,0.276441102756892,0.283458646616541,0.269674185463659,0.19749373433584,0.239348370927318,0.182957393483709,0.245363408521303,0.208020050125313,0.200751879699248,0.205764411027569,0.132581453634085,0.0932330827067669
"PVW1",0.16265664160401,0.178947368421053,0.178696741854637,0.0674185463659148,0.0604010025062657,0.120050125313283,0.170927318295739,0.137092731829574,0.210526315789474,0.0759398496240602,0.0674185463659148,0.132080200501253,0.0864661654135338,0.17218045112782,0.14937343358396,0.212280701754386,0.256390977443609,0.213784461152882,0.232330827067669,0.229824561403509,0.247619047619048,0,0.0969924812030075,0.123057644110276,0.1,0.188220551378446,0.0644110275689223,0.0739348370927318,0.081203007518797,0.114285714285714,0.238095238095238,0.270426065162907,0.264912280701754,0.0894736842105263,0.11077694235589,0.105764411027569,0.191979949874687,0.192230576441103,0.120802005012531,0.312280701754386,0.311027568922306,0.279197994987469,0.374185463659148,0.348621553884712,0.315037593984962,0.302756892230576,0.153884711779449,0.18671679197995,0.326065162907268,0.223057644110276,0.265914786967419
"PVW2",0.119799498746867,0.129072681704261,0.120551378446115,0.0598997493734336,0.0456140350877193,0.043609022556391,0.16390977443609,0.156140350877193,0.19874686716792,0.049874686716792,0.080952380952381,0.0694235588972431,0.0488721804511278,0.159147869674185,0.0786967418546366,0.135839598997494,0.170426065162907,0.132581453634085,0.140350877192982,0.168170426065163,0.163408521303258,0.0969924812030075,0,0.0511278195488722,0.15187969924812,0.184461152882206,0.0711779448621554,0.14812030075188,0.133333333333333,0.153634085213033,0.214035087719298,0.28671679197995,0.288721804511278,0.159649122807018,0.141604010025063,0.150125313283208,0.205012531328321,0.202756892230576,0.156641604010025,0.282205513784461,0.29047619047619,0.263659147869674,0.284461152882206,0.291979949874687,0.26015037593985,0.26015037593985,0.125062656641604,0.17218045112782,0.282706766917293,0.195739348370927,0.209273182957393
"PVW3",0.129824561403509,0.137593984962406,0.131328320802005,0.0794486215538847,0.0659147869674186,0.0471177944862155,0.150375939849624,0.161904761904762,0.180952380952381,0.0734335839598998,0.104511278195489,0.0731829573934837,0.0736842105263158,0.152380952380952,0.0641604010025063,0.13734335839599,0.163659147869674,0.13483709273183,0.133834586466165,0.170676691729323,0.170175438596491,0.123057644110276,0.0511278195488722,0,0.163157894736842,0.176942355889724,0.0917293233082707,0.156390977443609,0.153634085213033,0.167167919799499,0.223809523809524,0.281704260651629,0.291729323308271,0.176190476190476,0.168421052631579,0.17719298245614,0.213032581453634,0.210526315789474,0.182706766917293,0.296240601503759,0.297994987468672,0.280701754385965,0.291979949874687,0.299498746867168,0.265914786967419,0.272431077694236,0.133082706766917,0.182706766917293,0.258897243107769,0.171929824561404,0.217042606516291
"PVR1",0.188972431077694,0.195488721804511,0.197744360902256,0.104010025062657,0.121804511278195,0.175187969924812,0.111278195488722,0.0531328320802005,0.124812030075188,0.132581453634085,0.103759398496241,0.195488721804511,0.137844611528822,0.125563909774436,0.210025062656642,0.28546365914787,0.319298245614035,0.282205513784461,0.242606516290727,0.287468671679198,0.245864661654135,0.1,0.15187969924812,0.163157894736842,0,0.11453634085213,0.120551378446115,0.0904761904761905,0.103258145363409,0.12531328320802,0.162406015037594,0.180451127819549,0.182706766917293,0.114035087719298,0.1265664160401,0.118546365914787,0.12280701754386,0.139097744360902,0.119548872180451,0.343609022556391,0.368421052631579,0.336842105263158,0.373684210526316,0.362155388471178,0.306265664160401,0.3265664160401,0.183959899749373,0.27468671679198,0.282957393483709,0.178947368421053,0.235588972431078
"PVR2",0.1734335839599,0.179949874686717,0.182205513784461,0.156641604010025,0.168421052631579,0.194486215538847,0.117042606516291,0.0964912280701754,0.093734335839599,0.181203007518797,0.164912280701754,0.213533834586466,0.174436090225564,0.103007518796992,0.200751879699248,0.278696741854637,0.315538847117795,0.274185463659148,0.221303258145363,0.278446115288221,0.213032581453634,0.188220551378446,0.184461152882206,0.176942355889724,0.11453634085213,0,0.169924812030075,0.180701754385965,0.18546365914787,0.194486215538847,0.18922305764411,0.178446115288221,0.197243107769424,0.205513784461153,0.178195488721805,0.18796992481203,0.137593984962406,0.154887218045113,0.202756892230576,0.36015037593985,0.383208020050125,0.352130325814536,0.34937343358396,0.359649122807018,0.297744360902256,0.342857142857143,0.201002506265664,0.280200501253133,0.255889724310777,0.143358395989975,0.19874686716792
