"","10CB.1","10CB.2","10CB.3","10CC.1","10CC.2","10CC.3","10CV.1","10CV.2","10CV.3","Theo2.1","Theo2.2","Theo2.3","10TB.1","10TB.2","10TB.3","10TC.1","10TC.2","10TC.3","10TV.1","10TV.2","10TV.3","10UB.2","10UB.3","10UC.1","10UC.2","10UC.3","10UV.1","10UV.2","10UV.3"
"Theo2.2",0.409273182957394,0.425563909774436,0.395238095238095,0.460902255639098,0.452882205513784,0.426065162907268,0.444110275689223,0.419298245614035,0.384962406015038,0.0213032581453634,0,0.0145363408521303,0.368170426065163,0.343609022556391,0.341854636591479,0.352882205513784,0.349122807017544,0.377944862155388,0.377443609022556,0.352882205513784,0.32531328320802,0.53734335839599,0.556390977443609,0.381453634085213,0.420802005012531,0.349874686716792,0.555889724310777,0.584711779448622,0.589724310776942
"Theo2.3",0.411528822055138,0.42781954887218,0.39749373433584,0.457644110275689,0.449624060150376,0.425062656641604,0.446365914786967,0.421553884711779,0.387218045112782,0.0218045112781955,0.0145363408521303,0,0.370426065162907,0.347619047619048,0.345864661654135,0.348872180451128,0.345112781954887,0.373934837092732,0.379699248120301,0.355137844611529,0.327568922305764,0.53734335839599,0.556390977443609,0.390225563909774,0.423057644110276,0.352631578947368,0.555889724310777,0.584711779448622,0.589724310776942
"10TB.1",0.0952380952380952,0.105764411027569,0.118796992481203,0.599749373433584,0.590977443609023,0.49749373433584,0.123308270676692,0.116290726817043,0.127318295739348,0.361654135338346,0.368170426065163,0.370426065162907,0,0.0463659147869674,0.0651629072681704,0.498245614035088,0.506516290726817,0.535588972431078,0.0551378446115288,0.06265664160401,0.0596491228070175,0.264160401002506,0.280701754385965,0.342355889724311,0.414285714285714,0.395238095238095,0.287468671679198,0.308521303258145,0.31203007518797
"10TB.2",0.106265664160401,0.119298245614035,0.121553884711779,0.583458646616541,0.574937343358396,0.494987468671679,0.138095238095238,0.129573934837093,0.123308270676692,0.334085213032581,0.343609022556391,0.347619047619048,0.0463659147869674,0,0.0308270676691729,0.489974937343358,0.497744360902256,0.525563909774436,0.0776942355889724,0.0691729323308271,0.0659147869674186,0.279197994987469,0.297744360902256,0.363157894736842,0.429824561403509,0.41328320802005,0.302756892230576,0.324561403508772,0.329824561403509
"10TB.3",0.107017543859649,0.128571428571429,0.11453634085213,0.579699248120301,0.572431077694236,0.489724310776942,0.147368421052632,0.140601503759399,0.122305764411028,0.335338345864662,0.341854636591479,0.345864661654135,0.0651629072681704,0.0308270676691729,0,0.491478696741855,0.499248120300752,0.530827067669173,0.093984962406015,0.0726817042606516,0.0644110275689223,0.282205513784461,0.301002506265664,0.364912280701754,0.431829573934837,0.415037593984962,0.300751879699248,0.327568922305764,0.332832080200501
"10TC.1",0.537844611528822,0.559147869674186,0.529323308270677,0.326817042606516,0.405263157894737,0.34937343358396,0.576190476190476,0.548872180451128,0.520050125313283,0.345363408521303,0.352882205513784,0.348872180451128,0.498245614035088,0.489974937343358,0.491478696741855,0,0.146616541353383,0.134335839598998,0.501754385964912,0.5,0.456140350877193,0.70952380952381,0.719548872180451,0.475187969924812,0.463157894736842,0.438345864661654,0.714035087719298,0.730325814536341,0.742857142857143
"10TC.2",0.543859649122807,0.564661654135338,0.536340852130326,0.415538847117794,0.451629072681704,0.371929824561403,0.582706766917293,0.556390977443609,0.526065162907268,0.341604010025063,0.349122807017544,0.345112781954887,0.506516290726817,0.497744360902256,0.499248120300752,0.146616541353383,0,0.114285714285714,0.508521303258145,0.509774436090226,0.463659147869674,0.728070175438597,0.738345864661654,0.479197994987469,0.469924812030075,0.444360902255639,0.731829573934837,0.748621553884712,0.760651629072682
"10TC.3",0.573684210526316,0.595488721804511,0.571929824561404,0.369924812030075,0.417794486215539,0.344862155388471,0.61328320802005,0.585714285714286,0.557644110275689,0.370426065162907,0.377944862155388,0.373934837092732,0.535588972431078,0.525563909774436,0.530827067669173,0.134335839598998,0.114285714285714,0,0.53859649122807,0.53734335839599,0.493734335839599,0.749624060150376,0.759899749373434,0.521553884711779,0.510025062656642,0.484962406015038,0.755639097744361,0.770175438596491,0.782706766917293
"10TV.1",0.0726817042606516,0.0759398496240602,0.087218045112782,0.612531328320802,0.603759398496241,0.508521303258145,0.0949874686716792,0.0786967418546366,0.0952380952380952,0.370927318295739,0.377443609022556,0.379699248120301,0.0551378446115288,0.0776942355889724,0.093984962406015,0.501754385964912,0.508521303258145,0.53859649122807,0,0.0794486215538847,0.07468671679198,0.301503759398496,0.311779448621554,0.303508771929825,0.367167919799499,0.362406015037594,0.316541353383459,0.335338345864662,0.340601503759399
"10TV.2",0.0972431077694236,0.127067669172932,0.107518796992481,0.601002506265664,0.591478696741855,0.496240601503759,0.146616541353383,0.132330827067669,0.131077694235589,0.346365914786967,0.352882205513784,0.355137844611529,0.06265664160401,0.0691729323308271,0.0726817042606516,0.5,0.509774436090226,0.53734335839599,0.0794486215538847,0,0.0614035087719298,0.28796992481203,0.307268170426065,0.332581453634085,0.404511278195489,0.385964912280702,0.311779448621554,0.333333333333333,0.338095238095238
