"","Theo1.1","Theo1.2","Theo1.3","Theo2.1","Theo2.2","Theo2.3","IONMM10","IONMM11","IONMM12","IONMM1","IONMM2","IONMM3","MC.25.glycerol.1","MC.25.glycerol.2","MC.25.glycerol.3","IONMM7","IONMM8","IONMM9","IONMM4","IONMM5","IONMM6","MC.PBS.1","MC.PBS.2","MC.PBS.3"
"IONMM2",0.352380952380952,0.361904761904762,0.358395989974937,0.197744360902256,0.181954887218045,0.196491228070175,0.0426065162907268,0.0496240601503759,0.0558897243107769,0.049874686716792,0,0.0333333333333333,0.302255639097744,0.276691729323308,0.291729323308271,0.134085213032581,0.130576441102757,0.110025062656642,0.135588972431078,0.153634085213033,0.106015037593985,0.284711779448622,0.276691729323308,0.264661654135338
"IONMM3",0.366666666666667,0.376190476190476,0.372681704260652,0.208771929824561,0.199248120300752,0.213784461152882,0.0335839598997494,0.0388471177944862,0.0493734335839599,0.0330827067669173,0.0333333333333333,0,0.271679197994987,0.244611528822055,0.259398496240602,0.108771929824561,0.103508771929825,0.0889724310776942,0.119047619047619,0.134586466165414,0.117794486215539,0.26140350877193,0.246616541353383,0.240601503759398
"MC.25.glycerol.1",0.442105263157895,0.451629072681704,0.44812030075188,0.296240601503759,0.302756892230576,0.305012531328321,0.283709273182957,0.287468671679198,0.298496240601504,0.279197994987469,0.302255639097744,0.271679197994987,0,0.0473684210526316,0.0521303258145363,0.284962406015038,0.288972431077694,0.281203007518797,0.31328320802005,0.329072681704261,0.328571428571429,0.0406015037593985,0.0348370927318296,0.0416040100250627
"MC.25.glycerol.2",0.433834586466165,0.443358395989975,0.43984962406015,0.2734335839599,0.279949874686717,0.282205513784461,0.256641604010025,0.260902255639098,0.269674185463659,0.25062656641604,0.276691729323308,0.244611528822055,0.0473684210526316,0,0.0343358395989975,0.256140350877193,0.259398496240602,0.251629072681704,0.286215538847118,0.298496240601504,0.301754385964912,0.0263157894736842,0.0453634085213033,0.0365914786967419
"MC.25.glycerol.3",0.440852130325815,0.450375939849624,0.4468671679198,0.303258145363409,0.309774436090226,0.31203007518797,0.271177944862155,0.27593984962406,0.282456140350877,0.263408521303258,0.291729323308271,0.259398496240602,0.0521303258145363,0.0343358395989975,0,0.248621553884712,0.25187969924812,0.244862155388471,0.284461152882206,0.291478696741855,0.305764411027569,0.0395989974937343,0.0345864661654135,0.0446115288220551
"IONMM7",0.384210526315789,0.393734335839599,0.390225563909774,0.288220551378446,0.278696741854637,0.293233082706767,0.102255639097744,0.10952380952381,0.104260651629073,0.110275689223058,0.134085213032581,0.108771929824561,0.284962406015038,0.256140350877193,0.248621553884712,0,0.0295739348370927,0.0503759398496241,0.0744360902255639,0.0789473684210526,0.0887218045112782,0.278446115288221,0.257894736842105,0.262907268170426
"IONMM8",0.378446115288221,0.38796992481203,0.384461152882206,0.282957393483709,0.280952380952381,0.289473684210526,0.102756892230576,0.116791979949875,0.102005012531328,0.107017543859649,0.130576441102757,0.103508771929825,0.288972431077694,0.259398496240602,0.25187969924812,0.0295739348370927,0,0.0265664160401003,0.0714285714285714,0.0711779448621554,0.0829573934837093,0.282456140350877,0.261904761904762,0.266416040100251
"IONMM9",0.387719298245614,0.397243107769424,0.393734335839599,0.268922305764411,0.266917293233083,0.275438596491228,0.0781954887218045,0.0922305764411028,0.0817042606516291,0.0837092731829574,0.110025062656642,0.0889724310776942,0.281203007518797,0.251629072681704,0.244862155388471,0.0503759398496241,0.0265664160401003,0,0.0779448621553885,0.0859649122807018,0.0786967418546366,0.27468671679198,0.254135338345865,0.258646616541353
"IONMM4",0.332330827067669,0.341854636591479,0.338345864661654,0.310526315789474,0.301002506265664,0.315538847117795,0.112280701754386,0.115037593984962,0.117293233082707,0.112781954887218,0.135588972431078,0.119047619047619,0.31328320802005,0.286215538847118,0.284461152882206,0.0744360902255639,0.0714285714285714,0.0779448621553885,0,0.0368421052631579,0.0586466165413534,0.305513784461153,0.286215538847118,0.289974937343358
"IONMM5",0.311528822055138,0.32280701754386,0.32280701754386,0.321553884711779,0.312531328320802,0.3265664160401,0.129072681704261,0.134085213032581,0.123558897243108,0.125563909774436,0.153634085213033,0.134586466165414,0.329072681704261,0.298496240601504,0.291478696741855,0.0789473684210526,0.0711779448621554,0.0859649122807018,0.0368421052631579,0,0.0786967418546366,0.321804511278195,0.302255639097744,0.306265664160401
"IONMM6",0.333082706766917,0.342606516290727,0.339097744360902,0.275187969924812,0.265664160401002,0.280200501253133,0.087719298245614,0.0927318295739348,0.0909774436090226,0.0989974937343358,0.106015037593985,0.117794486215539,0.328571428571429,0.301754385964912,0.305764411027569,0.0887218045112782,0.0829573934837093,0.0786967418546366,0.0586466165413534,0.0786967418546366,0,0.317293233082707,0.301503759398496,0.301754385964912
"MC.PBS.1",0.442606516290727,0.452130325814536,0.448621553884712,0.27468671679198,0.281203007518797,0.283458646616541,0.273182957393484,0.276691729323308,0.288220551378446,0.268922305764411,0.284711779448622,0.26140350877193,0.0406015037593985,0.0263157894736842,0.0395989974937343,0.278446115288221,0.282456140350877,0.27468671679198,0.305513784461153,0.321804511278195,0.317293233082707,0,0.03734335839599,0.0253132832080201
"MC.PBS.2",0.430576441102757,0.440100250626566,0.436842105263158,0.299498746867168,0.306015037593985,0.308270676691729,0.258395989974937,0.261904761904762,0.2734335839599,0.254135338345865,0.276691729323308,0.246616541353383,0.0348370927318296,0.0453634085213033,0.0345864661654135,0.257894736842105,0.261904761904762,0.254135338345865,0.286215538847118,0.302255639097744,0.301503759398496,0.03734335839599,0,0.0303258145363409
"MC.PBS.3",0.423057644110276,0.432581453634085,0.429072681704261,0.270175438596491,0.276691729323308,0.278947368421053,0.252631578947368,0.255889724310777,0.267418546365915,0.24812030075188,0.264661654135338,0.240601503759398,0.0416040100250627,0.0365914786967419,0.0446115288220551,0.262907268170426,0.266416040100251,0.258646616541353,0.289974937343358,0.306265664160401,0.301754385964912,0.0253132832080201,0.0303258145363409,0
