"","Theo2.1","Theo2.2","Theo2.3","M4R1","M4R2","M4R3","M4W1","M4W2","M4W3","ML4R1","ML4R2","ML4R3","ML4W1","ML4W2","ML4W3","MLVR1","MLVR2","MLVR3","MLVW1","MLVW2","MLVW3","MVR1","MVR2","MVR3","MVW1","MVW2","MVW3","P4R1","P4R2","P4R3","P4W1","P4W2","P4W3","PL4R1","PL4R2","PL4R3","PL4W1","PL4W2","PL4W3","PLVR1","PLVR2","PLVR3","PLVW1","PLVW2","PLVW3","PVR1","PVR2","PVR3","PVW1","PVW2","PVW3"
"ML4R2",0.111738972086811,0.117401793293323,0.117105721620014,0.0896284755284037,0.133359045447993,0.127664535739237,0.0405881491695279,0.0450142615386396,0.0508530340280519,0.0331496900509865,0,0.0593250978260913,0.0505027320461077,0.0428419674060979,0.0402074009869251,0.296291893434051,0.299165585877663,0.262781333336371,0.28393092764091,0.303090473143418,0.233223827173538,0.170333945265254,0.122401170261342,0.190318867292056,0.260602891646213,0.140345514169913,0.21700007284944,0.0589651740880838,0.0756747057966894,0.100429615399853,0.0799798432521784,0.0976354273331535,0.135498681863583,0.10809463665812,0.0722123872692757,0.165216303501889,0.103506947881266,0.0892510156963228,0.158997263403043,0.204336466652103,0.236589612033397,0.206238744786272,0.235595709261949,0.268240026008479,0.228262117619341,0.0513478579816252,0.0750257497019401,0.107283948042962,0.0833670898801464,0.121227672335996,0.128513818967806
"ML4R3",0.0803593775347666,0.0889391217202678,0.0879111432446693,0.0964841544873005,0.135184988360235,0.129314205818576,0.0567367760811212,0.0466007203986259,0.0644314691333203,0.0822494799514578,0.0593250978260913,0,0.0638926258746662,0.0395316438336508,0.043912974484917,0.2593802173479,0.248490799693836,0.22362731506621,0.232716020269453,0.251183461451229,0.181881157731799,0.174137275483599,0.111532918910929,0.161418710378154,0.209260245693329,0.0889972165869472,0.166119346494315,0.0616009174103574,0.0673951263178749,0.102083030116785,0.0378423124084231,0.0559637006069638,0.0916781762699764,0.0611710258342064,0.0619721539987295,0.114070391530548,0.0569793792907201,0.0387401331119569,0.103731646464689,0.169600584818327,0.186317777886545,0.175382525674903,0.184069217752354,0.216537270207353,0.176951313343076,0.0588102760560936,0.0822687288983078,0.0505728052737995,0.0406837968996819,0.0789714398755818,0.0915916027034234
"ML4W1",0.116356560290997,0.124853220638098,0.124369670773779,0.124133822964056,0.153577781755329,0.150272841564986,0.0190802614028189,0.0195942915830012,0.0129414176132939,0.0520889357461992,0.0505027320461077,0.0638926258746662,0,0.0350486041471738,0.0216255811429983,0.324472747016079,0.304606934952945,0.278537961332374,0.279657544517583,0.290295146857762,0.224644777130585,0.21034902014795,0.151436601244002,0.217306011263171,0.253552558713505,0.130569682610015,0.204174637561038,0.0899473157497125,0.0919932417805224,0.133566854608109,0.070769427736497,0.0860080116102218,0.127842951740141,0.100529735020665,0.0947490635117939,0.156571285355224,0.0930634029055622,0.0763876157850961,0.144508008805945,0.219451229503455,0.235614269149847,0.227344296654785,0.225470056231891,0.25702530568282,0.220208431244903,0.0644781813857344,0.10641210999801,0.0919957120030039,0.0604638321642007,0.112521412386818,0.121302767905507
"ML4W2",0.0925970254760049,0.101161191668712,0.100676925554977,0.105757221542218,0.145193713094703,0.138472436992861,0.0288451045670847,0.0213776292924202,0.0359344753175743,0.0636174190314116,0.0428419674060979,0.0395316438336508,0.0350486041471738,0,0.0236702761337562,0.294778580249646,0.27469268021224,0.25209652426141,0.253600278098492,0.266896151283988,0.201363219434674,0.18621431286716,0.128331465907379,0.188117505814208,0.226326051020116,0.102943684973431,0.181014823485546,0.0686201554286464,0.0779363984931659,0.114789510432577,0.0468416054181073,0.0640422862018394,0.100151397245399,0.069869189698609,0.075223061458061,0.128119665107234,0.0659322950715477,0.0501087623763237,0.117238027034785,0.193827418487329,0.208789080540468,0.200112436263701,0.198974435662076,0.231160679443837,0.192257009346091,0.0526855874689089,0.085797633153263,0.0672880921432742,0.0447102924910708,0.0879214337782321,0.0999431439306358
"ML4W3",0.103945164329882,0.112445430931158,0.111963299797709,0.117134105541909,0.149353203363054,0.142350072947362,0.0264630933581655,0.00863541110368896,0.0214450975707665,0.0588233398798637,0.0402074009869251,0.043912974484917,0.0216255811429983,0.0236702761337562,0,0.303291113057611,0.284334634341086,0.261080884318942,0.264759368208922,0.279613211513319,0.212423681747385,0.201084149570899,0.138767161968159,0.197752307865374,0.239891511044888,0.117789407363542,0.193958590966952,0.0789816629396335,0.0824704689599417,0.125661574355715,0.0587985463385957,0.0754742019822822,0.112504642660592,0.0834293967701179,0.0844289579711372,0.141968921090237,0.0771410912308739,0.0595769247376799,0.131419285384605,0.200726162110471,0.218384660659757,0.206631778960048,0.212220212545302,0.244380644662772,0.205057420093899,0.056557346198284,0.096689837608157,0.0780715737731031,0.0506481767231665,0.0985905941383369,0.111242909427274
"MLVR1",0.227468093258044,0.224052676576146,0.22335473165298,0.298982696437777,0.324577939523848,0.334419029324713,0.317933471812019,0.305722406534085,0.322281808478437,0.326141233175646,0.296291893434051,0.2593802173479,0.324472747016079,0.294778580249646,0.303291113057611,0,0.13231738885729,0.0797264928919507,0.154729350870373,0.151761532745956,0.16612256742626,0.148299856321956,0.204832427760825,0.150911121063595,0.151414090123197,0.213142047555683,0.176984270260403,0.262215842688903,0.265349136032901,0.245359828125553,0.259259127758856,0.244766500060578,0.213479830649871,0.230764490860129,0.249460149423945,0.193425374352377,0.23881958949274,0.252538790942315,0.210875837677856,0.144526949719811,0.16062190346691,0.147659437261675,0.176913331347938,0.15422742485523,0.177283159701992,0.278447749195645,0.262742539389889,0.239141450677232,0.275872162138151,0.22103009277902,0.220480727254479
"MLVR2",0.229883916039922,0.232351077421736,0.229335142539547,0.315724333555797,0.347558059503395,0.356820811847372,0.298018825684154,0.285625467206969,0.303467388214765,0.320245037404382,0.299165585877663,0.248490799693836,0.304606934952945,0.27469268021224,0.284334634341086,0.13231738885729,0,0.106432462588197,0.036367839783974,0.0296933982264975,0.105797066659582,0.208546412287374,0.226734342967075,0.174399645246102,0.0607860340326858,0.178470263210967,0.118379879146882,0.258389341331882,0.282803145935232,0.261546440560948,0.244608566637652,0.232790781524456,0.202873846947889,0.221268059311186,0.266868514766949,0.175440809763936,0.230278290685821,0.239915296173852,0.185947540228766,0.171038369865757,0.0883392525750477,0.177052985181189,0.118982292304681,0.0754229590084139,0.116320479559919,0.288639957329756,0.280301427914404,0.224978194150473,0.259148417536911,0.212084312605996,0.211578079485219
"MLVR3",0.208512422196075,0.210920613920059,0.207952209895077,0.248072754498021,0.27725984768745,0.287093506451022,0.271856263456806,0.259931697609505,0.276767096540275,0.289776298534473,0.262781333336371,0.22362731506621,0.278537961332374,0.25209652426141,0.261080884318942,0.0797264928919507,0.106432462588197,0,0.106308697998102,0.109799127018064,0.104691624324504,0.126468366433156,0.159242219448333,0.104353294645838,0.0917605190763956,0.155458919457156,0.118902029673369,0.223717470946997,0.215894916065658,0.194159562460665,0.223532752190035,0.208971079551052,0.182221384284902,0.200666105951217,0.208245478092869,0.162229925961127,0.2083400661373,0.220711321434864,0.174442824255116,0.104109448267236,0.10617360707805,0.109336230229158,0.127648123432699,0.10445355757962,0.128323685492131,0.236289977217701,0.222713586115276,0.201084426319966,0.234922105856409,0.188701454179545,0.187532236874987
"MLVW1",0.205649788581663,0.20795678824791,0.205046697437626,0.301639580099449,0.331780376942648,0.342503118470872,0.272330452343361,0.26353425435111,0.280416656967584,0.303885510981646,0.28393092764091,0.232716020269453,0.279657544517583,0.253600278098492,0.264759368208922,0.154729350870373,0.036367839783974,0.106308697998102,0,0.0233667824112238,0.0774100555836598,0.204692840119756,0.219303482828515,0.17290215825614,0.0468215430172331,0.153203136611201,0.0937400689085946,0.249385554974816,0.265900911152149,0.254536638680428,0.22271269901946,0.211367728949632,0.183109473948587,0.202195444442271,0.253334386225905,0.155804227981223,0.211237671937212,0.220726724558491,0.165010455892198,0.159246428348304,0.0758904538211047,0.170660107004989,0.0975209088799572,0.0572477914294231,0.0962590507530436,0.270839370446939,0.264032083699874,0.204992643529287,0.234783386376985,0.190366146100902,0.191630207589066
"MLVW2",0.223827472841308,0.226297977758057,0.223270867747117,0.320078470220625,0.353136725479857,0.361383736049327,0.281469413238131,0.274517872272156,0.293008949456193,0.322505658631493,0.303090473143418,0.251183461451229,0.290295146857762,0.266896151283988,0.279613211513319,0.151761532745956,0.0296933982264975,0.109799127018064,0.0233667824112238,0,0.0916180404174268,0.217162064915823,0.230522835203623,0.182241111237487,0.0531404424220403,0.166679532637633,0.101198351105967,0.261552031096671,0.284864469447775,0.264333485228841,0.235472360764727,0.219465678938279,0.192487417326485,0.213286902804545,0.269216700205253,0.163872703411232,0.220964336122676,0.233570751862025,0.172128083321715,0.172486495716564,0.0804766634408592,0.181407388800749,0.104200518025413,0.0600131543664982,0.103809062650475,0.288903284486335,0.282030751749555,0.213754859673625,0.2423402104924,0.201149882682365,0.199359740417436
