"","Theo2.1","Theo2.2","Theo2.3","10CB.1","10CB.2","10CB.3","10CC.1","10CC.2","10CC.3","10CV.1","10CV.2","10CV.3","10TB.1","10TB.2","10TB.3","10TC.1","10TC.2","10TC.3","10TV.1","10TV.2","10TV.3","10UB.2","10UB.3","10UC.1","10UC.2","10UC.3","10UV.1","10UV.2","10UV.3"
"10CV.2",0.247312569678078,0.252827544335992,0.253033323563772,0.0159804194108115,0.0160466058466887,0.0198702392324312,0.334166491151608,0.305862075170837,0.283809920311111,0.0215984824339671,0,0.018765808064477,0.0416269736737165,0.0472335617926477,0.0552390323661334,0.396916434430885,0.404252854036158,0.441931365605152,0.036951188413765,0.0529304422006461,0.0671767638920896,0.0623110157750379,0.0648164380028128,0.115680920140954,0.092385293008117,0.12754840063094,0.086501689392729,0.0859994166971775,0.0850938133757105
"10CV.3",0.234225771123238,0.239757017443014,0.239966229340345,0.0162750620518925,0.0221026055099922,0.0159869124551087,0.324158990895195,0.295836689900396,0.273660229473451,0.030156391674732,0.018765808064477,0,0.0434410767426009,0.043113935043329,0.0479083365749241,0.388565700215442,0.394627052161958,0.433849065934627,0.0407893838990804,0.0496486571375209,0.0633943590456502,0.0694940841466405,0.0727231133128901,0.116060361644067,0.0913655171240501,0.124394498532605,0.0867592964532582,0.0896059405735556,0.0891194256747799
"10TB.1",0.224189439108613,0.229722951986087,0.229934428124884,0.0387043136349525,0.0484218480065693,0.0420169355179092,0.313499654404979,0.286630479416834,0.263898348971076,0.0565306718075537,0.0416269736737165,0.0434410767426009,0,0.0196020275203586,0.0318908395802706,0.365160293042499,0.373069199716886,0.410131472723906,0.0129745898418613,0.023759743618847,0.0378537522891813,0.0900525560168162,0.0932999209310808,0.0899965095818242,0.0792657359426066,0.101404167935063,0.0907706783402649,0.0923227253506511,0.0912241567692758
"10TB.2",0.213556780894843,0.219156636660094,0.219394722849679,0.0422092382365406,0.0541567559198236,0.0434212351319667,0.303671561337894,0.277079396693977,0.254093153723834,0.0615751714431601,0.0472335617926477,0.043113935043329,0.0196020275203586,0,0.0163950127569293,0.360507119908659,0.368625649240757,0.403199801296433,0.0244748673828468,0.0182082887696654,0.031432312766513,0.0998135026170399,0.103185637687765,0.0903755865526641,0.0831632182707607,0.0992931835732219,0.0932229616600018,0.0947679825883875,0.0945561841313653
"10TB.3",0.217859375664375,0.223238426301276,0.223631704367219,0.0475035346212471,0.0612290238088818,0.0465320563837904,0.300896693768496,0.275531304602989,0.250746084756178,0.068830702612604,0.0552390323661334,0.0479083365749241,0.0318908395802706,0.0163950127569293,0,0.36245280838649,0.370282912138515,0.405740486880787,0.0355192732881926,0.0245754746754811,0.0346916554009714,0.106444075560909,0.109705386536581,0.0925206485717648,0.0881929631490202,0.100415893428796,0.0957862628204159,0.0983715837099124,0.0981428784098084
"10TC.1",0.211482745092229,0.213889983453185,0.210374065996129,0.393855900292632,0.408674584036458,0.388732174425733,0.210231955756659,0.273958577600834,0.248853206784041,0.415620778432331,0.396916434430885,0.388565700215442,0.365160293042499,0.360507119908659,0.36245280838649,0,0.083382616495174,0.0966548480145295,0.364443679141955,0.359320334798113,0.336677776989836,0.44794351175239,0.451633845345098,0.319467981751243,0.320042016466866,0.301514276575468,0.43073537067219,0.432112864400879,0.440755734970011
"10TC.2",0.215838684856334,0.218252592482113,0.214733020572277,0.400616235890913,0.414886854218268,0.395636273568674,0.270578380441485,0.309648847186396,0.279785057984284,0.422169328217638,0.404252854036158,0.394627052161958,0.373069199716886,0.368625649240757,0.370282912138515,0.083382616495174,0,0.0892160941673511,0.372015091079327,0.36782016137637,0.344524232327279,0.453970875851797,0.457722244792698,0.327576224227293,0.328206685912057,0.309926686647606,0.43678420954374,0.438297051895284,0.446810678510854
"10TC.3",0.257755369777317,0.260187223830892,0.256699268899098,0.438559689151671,0.452991527084855,0.434692162930614,0.240620229762428,0.277704092747457,0.247075653432332,0.460132628025654,0.441931365605152,0.433849065934627,0.410131472723906,0.403199801296433,0.405740486880787,0.0966548480145295,0.0892160941673511,0,0.410099597725989,0.402539984504879,0.383235839870027,0.49094130536662,0.494661349288333,0.371387086284278,0.371702198843935,0.353874702681231,0.47545691159662,0.47681265239902,0.485142791275263
"10TV.1",0.223971538792068,0.229507660253466,0.229719283011428,0.0359243327831436,0.0463363762874178,0.038873023693603,0.317090464540277,0.290293516926231,0.267250431156204,0.0538762575076935,0.036951188413765,0.0407893838990804,0.0129745898418613,0.0244748673828468,0.0355192732881926,0.364443679141955,0.372015091079327,0.410099597725989,0,0.028377738953202,0.0373949551263738,0.0902905282726542,0.0935637787889201,0.0860352656799494,0.0680967926408246,0.0990235595287704,0.0972696912915583,0.0978080084867499,0.0975832351478522
"10TV.2",0.211688905245948,0.217085870417714,0.217458631497644,0.043319793850799,0.0594597064368707,0.0440023589193857,0.306133492063791,0.279182288504871,0.255569931968129,0.067232685265285,0.0529304422006461,0.0496486571375209,0.023759743618847,0.0182082887696654,0.0245754746754811,0.359320334798113,0.36782016137637,0.402539984504879,0.028377738953202,0,0.0285300312028722,0.103438975711333,0.106722615426968,0.0823395530664622,0.081447017966403,0.093225936570154,0.093714247214255,0.0950501636100852,0.0945634102273866
"10TV.3",0.191192249676193,0.196586778303322,0.196964517925867,0.0589640900144948,0.075341001734692,0.0582868465387803,0.303619755766677,0.276751984520594,0.253465227319561,0.0830784069005294,0.0671767638920896,0.0633943590456502,0.0378537522891813,0.031432312766513,0.0346916554009714,0.336677776989836,0.344524232327279,0.383235839870027,0.0373949551263738,0.0285300312028722,0,0.11998919180819,0.123199654773555,0.0865577398668401,0.0752939762301249,0.0728021779187502,0.106179944564596,0.108758131934355,0.10820015501682
"10UB.2",0.293274380507164,0.298643611323938,0.298834434131939,0.0652160379435367,0.0532088712632866,0.0705757538110122,0.382167215406814,0.351510032560977,0.331588500140989,0.0525733594774545,0.0623110157750379,0.0694940841466405,0.0900525560168162,0.0998135026170399,0.106444075560909,0.44794351175239,0.453970875851797,0.49094130536662,0.0902905282726542,0.103438975711333,0.11998919180819,0,0.00369032072064757,0.170028449185962,0.147936738798948,0.182057129430601,0.0689055372634079,0.0695286660833834,0.058211047774957
"10UB.3",0.296145926859823,0.301433037023584,0.301680513059145,0.0682507834763189,0.0552172812758366,0.0738228320265277,0.385509634801767,0.354721404169622,0.33481254176019,0.0548367636835386,0.0648164380028128,0.0727231133128901,0.0932999209310808,0.103185637687765,0.109705386536581,0.451633845345098,0.457722244792698,0.494661349288333,0.0935637787889201,0.106722615426968,0.123199654773555,0.00369032072064757,0,0.173341926608677,0.151246763968226,0.185464510775831,0.0692720969126721,0.0704496516774404,0.0589222184706197
"10UC.1",0.195914227174641,0.197048540677924,0.199455820506752,0.110292015076894,0.125996172923184,0.108555782277022,0.248624206365159,0.220932302516114,0.196323998518091,0.13351555566408,0.115680920140954,0.116060361644067,0.0899965095818242,0.0903755865526641,0.0925206485717648,0.319467981751243,0.327576224227293,0.371387086284278,0.0860352656799494,0.0823395530664622,0.0865577398668401,0.170028449185962,0.173341926608677,0,0.0474161828268883,0.0311036943188958,0.142894136132245,0.144169030733077,0.152929687824714
"10UC.2",0.203499092982617,0.206932503712043,0.208481831461257,0.0893019853494458,0.104437901492337,0.0874545551598757,0.278576857346831,0.251717679840481,0.227626936893549,0.111696466683839,0.092385293008117,0.0913655171240501,0.0792657359426066,0.0831632182707607,0.0881929631490202,0.320042016466866,0.328206685912057,0.371702198843935,0.0680967926408246,0.081447017966403,0.0752939762301249,0.147936738798948,0.151246763968226,0.0474161828268883,0,0.0398404004860351,0.157637576418877,0.160556872181124,0.160072117105453
"10UC.3",0.177956461988518,0.179095537075812,0.180965267460077,0.121798530479484,0.137832405280539,0.119425828691106,0.249316866350228,0.222119933476929,0.19762397656072,0.145014285046445,0.12754840063094,0.124394498532605,0.101404167935063,0.0992931835732219,0.100415893428796,0.301514276575468,0.309926686647606,0.353874702681231,0.0990235595287704,0.093225936570154,0.0728021779187502,0.182057129430601,0.185464510775831,0.0311036943188958,0.0398404004860351,0,0.163149291799381,0.165922331417102,0.167586062739352
"10UV.1",0.271057691453159,0.276404050509057,0.276758765065356,0.0782439127711685,0.0729067275429461,0.0827554125446577,0.358712864644047,0.326777206588831,0.307961649581725,0.0740415398255876,0.086501689392729,0.0867592964532582,0.0907706783402649,0.0932229616600018,0.0957862628204159,0.43073537067219,0.43678420954374,0.47545691159662,0.0972696912915583,0.093714247214255,0.106179944564596,0.0689055372634079,0.0692720969126721,0.142894136132245,0.157637576418877,0.163149291799381,0,0.00870412832635852,0.0138830184705979
"10UV.2",0.274768594209968,0.280133055404368,0.2804880646637,0.0803487133042067,0.0752282041917409,0.0854296045717254,0.360069585891618,0.327595967361633,0.309128757448422,0.0722944611509315,0.0859994166971775,0.0896059405735556,0.0923227253506511,0.0947679825883875,0.0983715837099124,0.432112864400879,0.438297051895284,0.47681265239902,0.0978080084867499,0.0950501636100852,0.108758131934355,0.0695286660833834,0.0704496516774404,0.144169030733077,0.160556872181124,0.165922331417102,0.00870412832635852,0,0.0137903908132605
"10UV.3",0.283058446127607,0.288403878134311,0.288755626279569,0.0799337780190839,0.0744247944758205,0.0854394554752772,0.369071041192975,0.337239262658481,0.318005032753024,0.0725262333995309,0.0850938133757105,0.0891194256747799,0.0912241567692758,0.0945561841313653,0.0981428784098084,0.440755734970011,0.446810678510854,0.485142791275263,0.0975832351478522,0.0945634102273866,0.10820015501682,0.058211047774957,0.0589222184706197,0.152929687824714,0.160072117105453,0.167586062739352,0.0138830184705979,0.0137903908132605,0
