"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"070a9a6a119a4798ecd3f6dd0b0229a0",16.481027839873,-5.32651720772393,2.23287504739749,-2.12351994910295,0.0337103056266286,0.0505654584399428
"aba55fff0b4acb780dd54e2b953ea50b",34.887832879991,-6.72404006875946,1.89003407565748,-3.2481306274347,0.00116165926513376,0.00255565038329427
"42a8e129b24d2020880f454fb40f659d",8.11290791753938,-2.44329383768773,2.15071015098501,-0.864054757037102,0.387557811083019,0.426313592191321
"4faf9cf6aabc4ca62ba2dd64df4ce639",0,NA,NA,NA,NA,NA
"7530628dcae7bd8e82b657d00a46cf31",175.034664934835,-7.74969053820364,1.47329047315149,-4.86307905199207,1.15573661712497e-06,4.23770092945822e-06
"5181cfd3246d68571628a84f6d7774d8",78.5799407811979,-7.81131730476143,1.81997192731862,-3.97058586210554,7.16961115548723e-05,0.000226482801877811
"f8fbeaf253aafeee895ae08c53b99df6",1014.60602616832,4.32261877202832,0.543224662132778,6.8804981287716,5.96436294375907e-12,9.84119885720247e-11
"c62032e3c3c86ea4d8ae5afb08699f17",4.42866552251017,3.27156573828889,4.38078720929281,0.613269512810105,0.53969814846428,0.574517383849072
"874d4ec679f1fc85f013adf6d37d89b3",180.202633737199,-8.90860179292558,1.33788055380263,-6.22151153071649,4.92387964539655e-10,4.06220070745215e-09
"ae0ae98c0a83e6a3ed3c31700a99ace6",66.0253140402455,-6.83314719077723,4.85660611202582,-1.2865331356777,NA,NA
"ef53c96349a804410165ad1870cfc6b2",850.00747226771,2.43762223005727,0.591469065835351,3.13230198559841,0.001734413780178,0.00336680322034554
"ea8d2b1ee059c267b00da203dc06c858",0,NA,NA,NA,NA,NA
"0770bdfd66b1dfd932653b2717759e1e",0,NA,NA,NA,NA,NA
"ffcdd935bd6eb52317fb4a3879d07a56",120.614904226925,-9.63558430208496,1.67843121072923,-5.39231023798204,6.95575399374327e-08,3.27914116847897e-07
"0584a4bcefb823fe17bb1a7f9e7ebe8e",3.12725411768948,-4.98366076046992,4.71328469188527,-0.933255372271884,0.350688131210948,0.3990589079297
"3eac6a7de7181a9a5652ca5c66999c64",12.8110330758798,-5.65940789555727,2.88681490908823,-1.75780074394822,0.0787814187274596,0.0999918006925449
"a613dbcb3bef05d80c9c7f8d943c7e67",1.08563366507555,-3.45304470324835,4.7164095885942,-0.608107109582496,0.543116437203452,NA
"ed36c6fd03ed68f6038419194b57dd70",0.951128449869613,-3.27433033102478,4.71703840017245,-0.570139058059249,NA,NA
