"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ae0ae98c0a83e6a3ed3c31700a99ace6",66.0253140402455,-2.21860722783207,4.85677794710338,-0.33636389081474,NA,NA
"ef53c96349a804410165ad1870cfc6b2",850.00747226771,2.19545169876995,0.592321817209929,2.71894289768836,0.0065490912990819,0.0121625981268664
"ea8d2b1ee059c267b00da203dc06c858",0,NA,NA,NA,NA,NA
"0770bdfd66b1dfd932653b2717759e1e",0,NA,NA,NA,NA,NA
"ffcdd935bd6eb52317fb4a3879d07a56",120.614904226925,-7.12997753157221,1.68072964125985,-3.89415101047721,9.85432497277498e-05,0.000320265561615187
"0584a4bcefb823fe17bb1a7f9e7ebe8e",3.12725411768948,1.71558026009662,4.85677794710338,0.232791733879819,0.815923132017945,NA
"3eac6a7de7181a9a5652ca5c66999c64",12.8110330758798,-4.94411623200435,2.89171169938178,-1.50746484589565,0.131691548110352,0.171199012543458
"a613dbcb3bef05d80c9c7f8d943c7e67",1.08563366507555,1.71558026009662,4.85677794710338,0.23279173387982,0.815923132017944,NA
"ed36c6fd03ed68f6038419194b57dd70",0.951128449869613,1.71558026009663,4.85677794710338,0.23279173387982,NA,NA
"fba55979431c330d4d6d70a47c3cca13",82.3457674675763,1.7155851904382,4.22383168703621,0.267677022544992,0.788947937939044,0.87230109259501
"a6b91be4757b403cc77ca43edd0df40c",0,NA,NA,NA,NA,NA
"28f89722f49527a2fa5be6a391312514",13.4570515857742,-5.17119075861812,2.50886508225487,-1.82800912266475,0.0675481825234486,0.0975695969783147
"c29887647f92a53ceb9d0ecac9f12c8c",0,NA,NA,NA,NA,NA
"623654a68a8b850c15dfe14ea0305eef",1443.16064274839,-11.9162858906449,1.2692460032039,-8.9276021837537,4.35341947869705e-19,1.13188906446123e-17
"93766c93f6cc4e8ac6296e9dc9dbe76c",40.4235484727967,-6.80299911146873,1.91090741835198,-3.25397062726889,0.00113804046046899,0.00246575433101614
"463c90535e77331640c6e3bcc51dd305",45.467010420351,-7.52840248815652,1.81618200744532,-3.82309700182647,0.000131785904221791,0.000380714834418507
"5dc6470972a835884558ce99ce423d4d",0.573618704302808,1.71558026009663,4.85677794710338,0.232791733879821,NA,NA
"c004d92a0aab0f08d5f3ae2f6219c89c",0,NA,NA,NA,NA,NA
"4de789a868a8668b150e33569796f8c0",9.66061721201577,-4.29331671655752,3.09047137080669,-1.19993158676904,0.230165911324918,NA
"088c48de063b264a133e67cd8960bec9",16.8057696397432,-5.06717466535551,2.67612939795415,-1.67488618751429,0.093956564176677,0.128572140452295
"4eba4e63eb2a9caeb673afe2b0291fbf",118.974269880376,1.69146457196626,4.85677794710338,0.227826366223936,NA,NA
"d430e324c5702e49af606f13ae123463",1.40217905496242,1.71558026009662,4.85677794710338,0.23279173387982,NA,NA
"e665a6d4d83de8e8514da8394b4ec926",1.58802093451843,-1.37033396486146,4.75939128221209,-0.165015107515025,NA,NA
"89ad9b3e695c89af88a366e30a71fafe",9.44876432201298,2.69403312756261,4.44176078977163,0.474827602535051,NA,NA
"2fa91da7f1d8b45b2a3eb39197e739cc",0,NA,NA,NA,NA,NA
"807dc88e50bed99e87e862e4f7fbc22b",2.68785448969288,-4.7683729593226,4.71631327250931,-0.887008605426177,NA,NA
"1d2eda8514426ee402a8a49516efcfa8",0.436342433187606,1.71558026009662,4.85677794710338,0.232791733879819,NA,NA
"320750e5da447cb16c85572e6a98d695",2.40272063538757,1.71558026009662,4.85677794710338,0.23279173387982,0.815923132017944,NA
"2189c40ef6da5541a9a65e2eb926c10f",0.898614598071246,-3.18483551864293,4.72537042921528,-0.550194541754374,0.582185946917438,NA
"4c5dfc64a55a433003668905f48c8239",4.63062278815386,1.71558026009662,4.85677794710338,0.23279173387982,NA,NA
"4d7c78c1a4516fcf56f1a599beeb1fa4",5.43419150259649,-4.30288618292243,3.22089524727586,-1.15431375340312,0.248371559908074,NA
"bc44915a0352691cc51940bd90fc8321",274.537771000381,0.136368594950069,0.490425430383089,0,1,1
"c2f881ff84e18094a9644f73de76ec6f",1.8916865185915,-3.46509105732622,4.72297216106805,-0.609812731979719,0.541985866485888,NA
"50930a7f273f25932e8fe33160ad46bc",0.74031131922841,1.71558026009662,4.85677794710338,0.23279173387982,NA,NA
"810273cdd2dce3047bb4271dcebe36a4",0,NA,NA,NA,NA,NA
"06c9d593ff06ac4631b576f9678dbe70",0,NA,NA,NA,NA,NA
"da3860001a52786927463654fb0bdc41",1.40541439124613,1.71558026009662,4.85677794710338,0.232791733879819,0.815923132017945,NA
"e7b10ed62e4a57fc4e7753a1fff77252",29.1701740502201,-6.79830146221287,1.98749715014997,-3.12621276514679,0.00177073389510433,0.00354146779020867
"f6cb0143a268b5658a4543559630d53f",111.923110095111,-8.3643949039597,1.44344385304909,-5.38949428951149,7.06562249346142e-08,3.67412369659994e-07
"675901e598409fba2ca88494be3463d3",8.28059697699761,-4.11227122600878,2.45276680080814,-1.43809379845057,0.150407442002618,NA
"5923a5d614dcfc9148d0a8b3210af193",2.42382423023955,1.71558026009662,4.85677794710338,0.23279173387982,0.815923132017944,NA
"eb08e14b5a660f4e7869d54501c0db20",1909.63925986832,2.17771274874628,0.595909405880529,2.67280602102872,0.00752197320853199,0.0130380868947888
"8efb642214b33f9a69b40f2dd31fb4c4",41.8848111186916,-5.4057719656336,2.1943311161433,-2.19693802336694,0.0280248727985181,0.0455404182975919
"9a51009b55aca2f468f71e938eccd22e",382.015624716757,-11.2256938283656,1.41076776722902,-7.54251094674825,4.6100740558122e-14,5.99309627255586e-13
"b39d1b83c8d53619f16d68b941b8c0fe",3565.21876836448,-1.37286399211807,0.57763904136163,-1.36400318361385,0.172566563692174,0.21365384076174
"4669f785716df43aa86c9a990e619eb1",3143.75257905807,0.669466153401908,0.671091298808698,0.125919756120754,0.899795444027466,0.935787261788564
"c9bf5c74d65804a3c12ee5f33a35ce53",754.354846512218,1.35023227397735,0.648381119132099,1.18027769574869,0.237889786119865,0.281142474505295
"3c1d1b36406ce0c771ba2a56451f99c1",0,NA,NA,NA,NA,NA
"649322bdd8a606d39442923312f6cc0a",0,NA,NA,NA,NA,NA
